This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
c574cfeddf83cf21e146402e728c791d5c4399319694cfd08ea85a27f856be6d 26 26 2319 1180
4a21e72dbd8cb5870b200f8031ad44ee3d9d2f0f4b29fdb3872ae5bc8f1835a2 93 64 4020 993
ccd5ff8e5c7fad8369143f838431592ab88adfefbfc4961628c0c1d1d5270eb0 7 7 624 290
dc2f8114dfc0f99230503d5a09ea0f59e2672f55b8b33ea65596807d8b1bf045 16 16 37562 74
f389ed65dca5f49b6fa789df02901cf512c3630afb1777108d7fac642ab6fffc 8 8 401 14
1c9a01b64bdd130ce2c852e4e5327f6cd60d53cff7b9106fe320cb5dcee29e8d 10 0 0 0
69624c73a3b7d49d8bef6bce48abb8327b57658184292a2dd101c67f12348ed8 165 74 22372 15927
e764543f24b7919a509bd8aec65b8a3cfb98ff116e1a0b7d317d4878e63af425 7 7 1800 13
d58f8c22ea2461b67f714719b15b476ec8fcf7ec8f063899a9f005f4de9bc1bc 1 1 24 0
a8572a86d29c5e24658c0b4ad1b482e84c941467138156cf65463a430853d2d4 11 11 160616 1
2fa1df265f1163bc038b9d965a8b41f53cd1b9756be51b00fd989c3a3d74963c 11 11 1812760 54
33a71b2632e670c0e1aec322ba062bf301360b348c3d5e382908e05238ca3df3 2 2 6681 1
be272b00af33562f96a690bcd23cba36b5780d2124ebc071cef5f8ea62398f7e 456 62 2844 11329
5ae8db517ce629e611147b38bec8c2fe9c3339a4de26728ac06b7619ba076948 5 5 104516 47421
8ac8ea2e614bffa64c1c3c9ab94213cd39e53519b778db1cf4216c7c6a26c1bc 50 42 273758 14179
2d319d6f8f1ada2018c14ae9a51c3a207cdb69f08d4499774dd542621e23abbc 7 7 1946 305
4747f8bf2853b7881056c1e92afb1741b37ae2ebfc8bd277464350528e3d940f 151 18 983 199
f7c546dcb9f4f4a9573910235d4aafe9516e59d1d8860f1082747b22b6c5d8e5 28528 4 1223 390
